ScientificName
Ficus carica
Liatris spicata var. spicata
Liatris squarrosa
Liatris squarrosa var. squarrosa
Liatris squarrulosa
Liatris × spheroidea
Liatris × steelei
Madia sativa
Matricaria chamomilla
Matricaria discoidea
Mikania scandens
Nabalus albus
Nabalus altissimus
Nabalus asper
Nabalus crepidineus
Nabalus racemosus
Nabalus trifoliolatus
Onopordum acanthium
Onopordum acanthium subsp. acanthium
Packera aurea
Packera glabella
Packera obovata
Packera paupercula
Packera plattensis
Packera pseudaurea
Parthenium integrifolium
Pluchea camphorata
Pluchea odorata
Pluchea odorata var. succulenta
Polymnia canadensis
Pseudognaphalium macounii
Pseudognaphalium obtusifolium
Pyrrhopappus carolinianus
Ratibida columnifera
Ratibida pinnata
Rudbeckia fulgida
Rudbeckia fulgida var. deamii
Rudbeckia fulgida var. fulgida
Rudbeckia fulgida var. speciosa
Rudbeckia fulgida var. sullivantii
Rudbeckia fulgida var. umbrosa
Rudbeckia hirta
Rudbeckia hirta var. hirta
Rudbeckia hirta var. pulcherrima
Rudbeckia laciniata
Rudbeckia laciniata var. laciniata
Rudbeckia subtomentosa
Rudbeckia triloba
Rudbeckia triloba var. triloba
Senecio vulgaris
Sericocarpus linifolius
Silphium asteriscus
Silphium asteriscus var. latifolium
Silphium asteriscus var. trifoliatum
Silphium integrifolium
Silphium integrifolium var. integrifolium
Silphium laciniatum
Silphium perfoliatum
Silphium perfoliatum var. perfoliatum
Silphium terebinthinaceum
Silphium terebinthinaceum var. pinnatifidum
Silphium terebinthinaceum var. terebinthinaceum
Silybum marianum
Smallanthus uvedalius
Solidago altissima
Solidago altissima subsp. altissima
Solidago bicolor
Solidago buckleyi
Solidago caesia
Solidago caesia var. caesia
Solidago canadensis
Solidago canadensis var. canadensis
Solidago canadensis var. hargeri
Solidago erecta
Solidago flexicaulis
Solidago gigantea
Solidago hispida
Solidago juncea
Solidago missouriensis
Solidago nemoralis
Solidago nemoralis subsp. decemflora
Solidago nemoralis subsp. nemoralis
Solidago ohioensis
Solidago patula
Solidago patula subsp. patula
Solidago ptarmicoides
Solidago riddellii
Solidago rigida
Solidago rigida subsp. rigida
Solidago rigidiuscula
Solidago rugosa
Solidago rugosa var. aspera
Solidago rugosa var. rugosa
Solidago sempervirens
Solidago shortii
Solidago simplex
Solidago simplex var. gillmanii
Solidago speciosa
Solidago sphacelata
Solidago squarrosa
Solidago uliginosa
Solidago ulmifolia
Solidago ulmifolia var. ulmifolia
Solidago × ovata
Solidago × ulmicaesia
Sonchus arvensis
Sonchus arvensis subsp. arvensis
Sonchus arvensis subsp. uliginosus
Sonchus asper
Sonchus oleraceus
Symphyotrichum boreale
Symphyotrichum ciliatum
Symphyotrichum cordifolium
Symphyotrichum drummondii
Symphyotrichum drummondii var. drummondii
Symphyotrichum dumosum
Symphyotrichum ericoides
Symphyotrichum ericoides var. ericoides
Symphyotrichum firmum
Symphyotrichum laeve
Symphyotrichum laeve var. laeve
Symphyotrichum lanceolatum
Symphyotrichum lanceolatum var. hirsuticaule
Symphyotrichum lanceolatum var. interior
Symphyotrichum lanceolatum var. lanceolatum
Symphyotrichum lanceolatum var. latifolium
Symphyotrichum lateriflorum
Symphyotrichum novae-angliae
Symphyotrichum oblongifolium
Symphyotrichum ontarionis
Symphyotrichum ontarionis var. ontarionis
Symphyotrichum oolentangiense
Symphyotrichum patens
Symphyotrichum patens var. patens
Symphyotrichum phlogifolium
Symphyotrichum pilosum
Symphyotrichum pilosum var. pilosum
Symphyotrichum pilosum var. pringlei
Symphyotrichum praealtum
Symphyotrichum prenanthoides
Symphyotrichum puniceum
Symphyotrichum puniceum var. puniceum
Symphyotrichum racemosum
Symphyotrichum sericeum
Symphyotrichum shortii
Symphyotrichum subulatum
Symphyotrichum undulatum
Symphyotrichum urophyllum
Symphyotrichum × amethystinum
Tanacetum balsamita
Tanacetum parthenium
Tanacetum vulgare
Taraxacum erythrospermum
Taraxacum officinale
Tragopogon dubius
Tragopogon porrifolius
Tragopogon pratensis
Tragopogon × neohybridus
Tussilago farfara
Verbesina alternifolia
Verbesina helianthoides
Verbesina virginica
Vernonia fasciculata
Vernonia gigantea
Vernonia missurica
Vernonia × illinoensis
Xanthium spinosum
Xanthium strumarium
Athyrium filix-femina
Athyrium filix-femina var. angustum
Athyrium filix-femina var. asplenioides
Deparia acrostichoides
Homalosorus pycnocarpos
Impatiens capensis
Impatiens glandulifera
Impatiens pallida
Berberis aquifolium
Berberis canadensis
Berberis thunbergii
Berberis vulgaris
Caulophyllum giganteum
Caulophyllum thalictroides
Jeffersonia diphylla
Podophyllum peltatum
Alnus glutinosa
Alnus incana
Alnus incana subsp. rugosa
Alnus serrulata
Betula alleghaniensis
Betula nigra
Betula papyrifera
Betula pendula
Betula populifolia
Betula pumila
Betula × purpusii
Carpinus caroliniana
Carpinus caroliniana subsp. virginiana
Corylus americana
Ostrya virginiana
Bignonia capreolata
Campsis radicans
Catalpa bignonioides
Catalpa speciosa
Woodwardia areolata
Woodwardia virginica
Buglossoides arvensis
Cynoglossum officinale
Cynoglossum virginianum
Cynoglossum virginianum var. boreale
Cynoglossum virginianum var. virginianum
Echium vulgare
Ellisia nyctelea
Hackelia virginiana
Heliotropium indicum
Heliotropium tenellum
Hydrophyllum appendiculatum
Hydrophyllum canadense
Hydrophyllum macrophyllum
Hydrophyllum virginianum
Lappula squarrosa
Lithospermum canescens
Lithospermum caroliniense
Lithospermum caroliniense var. croceum
Lithospermum incisum
Lithospermum latifolium
Lithospermum parviflorum
Mertensia virginica
Myosotis arvensis
Myosotis laxa
Myosotis macrosperma
Myosotis scorpioides
Myosotis stricta
Myosotis verna
Phacelia bipinnatifida
Phacelia covillei
Phacelia purshii
Phacelia ranunculacea
Symphytum officinale
Alliaria petiolata
Alyssum alyssoides
Arabidopsis lyrata
Arabidopsis lyrata subsp. lyrata
Arabidopsis thaliana
Arabis patens
Arabis pycnocarpa
Arabis pycnocarpa var. adpressipilis
Arabis pycnocarpa var. pycnocarpa
Armoracia rusticana
Barbarea verna
Barbarea vulgaris
Berteroa incana
Boechera stricta
Borodinia canadensis
Borodinia dentata
Borodinia laevigata
Borodinia missouriensis
Brassica juncea
Brassica napus
Brassica nigra
Brassica rapa
Brassica rapa subsp. rapa
Cakile edentula
Cakile edentula subsp. edentula
Cakile edentula var. edentula
Cakile edentula var. lacustris
Camelina microcarpa
Capsella bursa-pastoris
Cardamine angustata
Cardamine bulbosa
Cardamine concatenata
Cardamine diphylla
Cardamine dissecta
Cardamine douglassii
Cardamine flexuosa
Cardamine hirsuta
Cardamine impatiens
Cardamine parviflora
Cardamine pensylvanica
Cardamine pratensis
Chorispora tenella
Conringia orientalis
Descurainia pinnata
Descurainia pinnata subsp. brachycarpa
Descurainia sophia
Diplotaxis muralis
Diplotaxis tenuifolia
Draba brachycarpa
Draba reptans
Draba verna
Erucastrum gallicum
Erysimum capitatum
Erysimum cheiranthoides
Erysimum hieraciifolium
Erysimum inconspicuum
Erysimum repandum
Hesperis matronalis
Iodanthus pinnatifidus
Leavenworthia uniflora
Lepidium campestre
Lepidium densiflorum
Lepidium didymum
Lepidium draba
Lepidium latifolium
Lepidium perfoliatum
Lepidium ruderale
Lepidium virginicum
Lepidium virginicum subsp. virginicum
Lobularia maritima
Lunaria annua
Microthlaspi perfoliatum
Nasturtium microphyllum
Nasturtium officinale
Neslia paniculata
Physaria globosa
Planodes virginicum
Raphanus raphanistrum
Raphanus sativus
Rapistrum rugosum
Rorippa aquatica
Rorippa palustris
Rorippa palustris subsp. hispida
Rorippa palustris subsp. palustris
Rorippa sessiliflora
Rorippa sylvestris
Sinapis alba
Sinapis alba subsp. alba
Sinapis arvensis
Sisymbrium altissimum
Sisymbrium loeselii
Sisymbrium officinale
Teesdalia nudicaulis
Thlaspi alliaceum
Thlaspi arvense
Turritis glabra
Butomus umbellatus
Pachysandra procumbens
Pachysandra terminalis
Brasenia schreberi
Cabomba caroliniana
Opuntia humifusa
Opuntia humifusa var. humifusa
Campanula aparinoides
Campanula rapunculoides
Campanula rotundifolia
Campanula trachelium
Campanulastrum americanum
Triodanis leptocarpa
Triodanis perfoliata
Cannabis sativa
Celtis laevigata
Celtis occidentalis
Celtis tenuifolia
Humulus japonicus
Humulus lupulus
Humulus lupulus var. lupuloides
Humulus lupulus var. lupulus
Humulus lupulus var. pubescens
Diervilla lonicera
Dipsacus fullonum
Dipsacus laciniatus
Linnaea borealis
Linnaea borealis subsp. americana
Lonicera canadensis
Lonicera dioica
Lonicera japonica
Lonicera maackii
Lonicera morrowii
Lonicera reticulata
Lonicera ruprechtiana
Lonicera sempervirens
Lonicera tatarica
Lonicera xylosteum
Lonicera × bella
Lonicera × minutiflora
Lonicera × notha
Lonicera × xylosteoides
Symphoricarpos albus
Symphoricarpos albus var. laevigatus
Symphoricarpos occidentalis
Symphoricarpos orbiculatus
Triosteum angustifolium
Triosteum aurantiacum
Triosteum aurantiacum var. aurantiacum
Triosteum aurantiacum var. glaucescens
Triosteum aurantiacum var. illinoense
Triosteum perfoliatum
Valeriana edulis
Valeriana edulis subsp. ciliata
Valeriana officinalis
Valeriana pauciflora
Valeriana uliginosa
Valerianella chenopodiifolia
Valerianella locusta
Valerianella radiata
Valerianella umbilicata
Agrostemma githago
Arenaria serpyllifolia
Arenaria serpyllifolia var. serpyllifolia
Cerastium arvense
Cerastium arvense subsp. strictum
Cerastium brachypetalum
Cerastium brachypodum
Cerastium dubium
Cerastium fontanum
Cerastium fontanum subsp. vulgare
Cerastium glomeratum
Cerastium nutans
Cerastium nutans var. nutans
Cerastium pumilum
Cerastium semidecandrum
Cerastium tomentosum
Cerastium velutinum
Cerastium velutinum var. velutinum
Dianthus armeria
Dianthus armeria subsp. armeria
Dianthus barbatus
Dianthus plumarius
Gypsophila paniculata
Gypsophila scorzonerifolia
Holosteum umbellatum
Holosteum umbellatum subsp. umbellatum
Minuartia michauxii
Minuartia patula
Moehringia lateriflora
Myosoton aquaticum
Paronychia canadensis
Paronychia fastigiata
Paronychia fastigiata var. fastigiata
Sagina decumbens
Sagina decumbens subsp. decumbens
Saponaria officinalis
Scleranthus annuus
Scleranthus annuus subsp. annuus
Silene antirrhina
Silene armeria
Silene chlorantha
Silene coronaria
Silene csereii
Silene dichotoma
Silene dichotoma subsp. dichotoma
Silene latifolia
Silene nivea
Silene noctiflora
Silene ovata
Silene regia
Silene stellata
Silene virginica
Silene vulgaris
Spergula arvensis
Spergularia marina
Spergularia media
Spergularia rubra
Stellaria corei
Stellaria graminea
Stellaria longifolia
Stellaria media
Stellaria pallida
Stellaria pubera
Vaccaria hispanica
Celastrus orbiculatus
Celastrus scandens
Euonymus alatus
Euonymus americanus
Euonymus atropurpureus
Euonymus atropurpureus var. atropurpureus
Euonymus europaeus
Euonymus fortunei
Euonymus hamiltonianus
Euonymus japonicus
Euonymus obovatus
Parnassia glauca
Ceratophyllum demersum
Ceratophyllum echinatum
Crocanthemum bicknellii
Crocanthemum canadense
Hudsonia tomentosa
Lechea minor
Lechea mucronata
Lechea pulchella
Lechea pulchella var. pulchella
Lechea racemulosa
Lechea stricta
Lechea tenuifolia
Peritoma serrulata
Polanisia dodecandra
Polanisia dodecandra subsp. dodecandra
Polanisia dodecandra subsp. trachysperma
Polanisia jamesii
Tarenaya hassleriana
Uvularia grandiflora
Uvularia perfoliata
Uvularia sessilifolia
Commelina communis
Commelina diffusa
Commelina diffusa var. diffusa
Commelina erecta
Commelina virginica
Tradescantia bracteata
Tradescantia ohiensis
Tradescantia subaspera
Tradescantia virginiana
Calystegia catesbeiana
Calystegia pubescens
Calystegia sepium
Calystegia sepium subsp. americana
Calystegia sepium subsp. angulata
Calystegia sepium subsp. erratica
Calystegia silvatica
